Pitcher,IP,H,SO,BB,WHIP,SO/BB,P/Inning,PAB
"Keuchel, D.",6.945454545454544,5.606060606060606,6.545454545454546,1.5454545454545454,1.029668411867365,4.235294117647059,15.212121212121216,4.132802524453634
"Feldman, S.",5.85,6.388888888888889,3.388888888888889,1.5,1.348528015194682,2.259259259259259,17.85185185185185,4.378719751962474
"Kazmir, S.",5.74516129032258,5.225806451612903,5.0,1.903225806451613,1.2408759124087594,2.6271186440677963,17.06451612903226,4.345086486712493
"McHugh, C.",6.262499999999998,6.46875,5.34375,1.65625,1.2974051896207588,3.2264150943396226,16.458333333333332,4.150673520298081
"Hernandez, R.",4.07,4.5,2.1,1.3,1.4250614250614249,1.6153846153846154,15.783333333333335,3.8706142702538577
"McCullers, L.",5.659090909090909,4.818181818181818,5.863636363636363,1.9545454545454546,1.1967871485943775,2.9999999999999996,35.57575757575757,4.6054596263002034
